Course,Date,From,To
Enterprise Systems,2023-02-13,09:00 AM,10:00 AM
Computing Theory,2023-02-13,02:30 PM,03:30 PM
Programming for Data Analysis,2023-02-13,03:45 PM,05:45 PM
System Development Methods,2023-02-14,10:45 AM,11:45 AM
Programming for Data Analysis,2023-02-14,01:30 PM,03:30 PM
Computing Theory,2023-02-14,03:45 PM,05:45 PM
Ethnic Relations,2023-02-14,06:45 PM,09:45 PM
Requirements Engineering,2023-02-15,08:30 AM,10:30 AM
Object Oriented Development with Java,2023-02-15,03:45 PM,05:45 PM
System Development Methods,2023-02-16,10:45 AM,12:45 PM
Object Oriented Development with Java,2023-02-16,03:45 PM,05:45 PM
Requirements Engineering,2023-02-17,08:30 AM,09:30 AM
Enterprise Systems,2023-02-17,10:15 AM,12:15 PM
Workplace Professional Communication Skills,2023-02-17,03:45 PM,05:45 PM
Enterprise Systems,2023-02-20,09:00 AM,10:00 AM
Computing Theory,2023-02-20,02:30 PM,03:30 PM
Programming for Data Analysis,2023-02-20,03:45 PM,05:45 PM
System Development Methods,2023-02-21,10:45 AM,11:45 AM
Programming for Data Analysis,2023-02-21,01:30 PM,03:30 PM
Computing Theory,2023-02-21,03:45 PM,05:45 PM
Ethnic Relations,2023-02-21,06:45 PM,09:45 PM
Requirements Engineering,2023-02-22,08:30 AM,10:30 AM
Object Oriented Development with Java,2023-02-22,03:45 PM,05:45 PM
System Development Methods,2023-02-23,10:45 AM,12:45 PM
Object Oriented Development with Java,2023-02-23,03:45 PM,05:45 PM
Requirements Engineering,2023-02-24,08:30 AM,09:30 AM
Enterprise Systems,2023-02-24,10:15 AM,12:15 PM
Workplace Professional Communication Skills,2023-02-24,03:45 PM,05:45 PM
Enterprise Systems,2023-02-27,09:00 AM,10:00 AM
Computing Theory,2023-02-27,02:30 PM,03:30 PM
Programming for Data Analysis,2023-02-27,03:45 PM,05:45 PM
Programming for Data Analysis,2023-02-28,08:30 AM,10:30 AM
System Development Methods,2023-02-28,10:45 AM,11:45 AM
Computing Theory,2023-02-28,03:45 PM,05:45 PM
Ethnic Relations,2023-02-28,06:45 PM,09:45 PM
Requirements Engineering,2023-03-01,08:30 AM,10:30 AM
Object Oriented Development with Java,2023-03-01,03:45 PM,05:45 PM
System Development Methods,2023-03-02,10:45 AM,12:45 PM
Object Oriented Development with Java,2023-03-02,03:45 PM,05:45 PM
Requirements Engineering,2023-03-03,08:30 AM,09:30 AM
Enterprise Systems,2023-03-03,10:15 AM,12:15 PM
Workplace Professional Communication Skills,2023-03-03,03:45 PM,05:45 PM
Enterprise Systems,2023-03-06,09:00 AM,10:00 AM
Computing Theory,2023-03-06,02:30 PM,03:30 PM
Programming for Data Analysis,2023-03-06,03:45 PM,05:45 PM
Programming for Data Analysis,2023-03-07,08:30 AM,10:30 AM
System Development Methods,2023-03-07,10:45 AM,11:45 AM
Computing Theory,2023-03-07,04:00 PM,06:00 PM
Ethnic Relations,2023-03-07,06:45 PM,09:45 PM
Requirements Engineering,2023-03-08,08:30 AM,10:30 AM
Object Oriented Development with Java,2023-03-08,03:45 PM,05:45 PM
System Development Methods,2023-03-09,11:15 AM,01:15 PM
Object Oriented Development with Java,2023-03-09,03:45 PM,05:45 PM
Requirements Engineering,2023-03-10,08:30 AM,09:30 AM
Enterprise Systems,2023-03-10,10:15 AM,12:15 PM
Workplace Professional Communication Skills,2023-03-10,03:30 PM,05:30 PM
